City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 1 hours),Snow inches (last 1 hours)
56,Dunedin,NZ,2020-07-12 16:38:28,-45.87,170.5,41.0,69,1,15.01,clear sky,0,0
57,Aklavik,CA,2020-07-12 16:38:28,68.22,-135.01,50.0,87,75,2.24,broken clouds,0,0
58,Salalah,OM,2020-07-12 16:36:28,17.02,54.09,82.4,88,75,5.82,broken clouds,0,0
59,Qaanaaq,GL,2020-07-12 16:38:28,77.48,-69.36,45.99,60,73,2.13,broken clouds,0,0
60,Tuktoyaktuk,CA,2020-07-12 16:38:28,69.45,-133.04,48.2,81,40,4.7,scattered clouds,0,0
61,Tasiilaq,GL,2020-07-12 16:38:29,65.61,-37.64,46.4,70,48,9.17,scattered clouds,0,0
62,Atuona,PF,2020-07-12 16:38:29,-9.8,-139.03,79.93,76,29,24.29,scattered clouds,0,0
63,Lac Du Bonnet,CA,2020-07-12 16:38:29,50.25,-96.06,79.0,93,38,5.01,scattered clouds,0,0
64,Nouadhibou,MR,2020-07-12 16:38:29,20.93,-17.03,82.4,58,11,8.05,few clouds,0,0
65,Pio Xii,BR,2020-07-12 16:38:29,-3.83,-45.15,88.23,50,0,4.56,clear sky,0,0
66,Baoro,CF,2020-07-12 16:38:29,5.67,15.97,73.76,87,57,2.93,light rain,0.29,0
67,Kapaa,US,2020-07-12 16:38:29,22.08,-159.32,77.0,78,20,16.11,few clouds,0,0
68,Cape Town,ZA,2020-07-12 16:38:30,-33.93,18.42,62.01,41,0,18.34,clear sky,0,0
69,Vaini,TO,2020-07-12 16:38:30,-21.2,-175.2,69.8,88,75,11.41,broken clouds,0,0
70,Baoqing,CN,2020-07-12 16:38:30,46.33,132.21,63.28,91,0,1.57,clear sky,0,0
71,Zhob,PK,2020-07-12 16:38:30,31.34,69.45,75.76,50,20,8.57,moderate rain,1.11,0
72,Albany,US,2020-07-12 16:38:30,42.6,-73.97,84.0,63,47,1.01,scattered clouds,0,0
73,Naryan-Mar,RU,2020-07-12 16:38:30,67.67,53.09,48.58,93,100,21.45,overcast clouds,0,0
74,Pudozh,RU,2020-07-12 16:38:30,61.81,36.53,63.93,65,100,3.78,overcast clouds,0,0
75,Aykhal,RU,2020-07-12 16:38:31,66.0,111.5,64.4,52,75,8.95,broken clouds,0,0
76,Henties Bay,NA,2020-07-12 16:38:31,-22.12,14.28,57.0,89,0,1.99,clear sky,0,0
77,Komsomolskiy,UZ,2020-07-12 16:38:31,40.43,71.72,80.6,42,100,6.93,overcast clouds,0,0
78,Saint-Philippe,RE,2020-07-12 16:38:31,-21.36,55.77,69.8,82,52,3.36,light rain,0.33,0
79,Capannori,IT,2020-07-12 16:38:31,43.87,10.57,86.0,43,17,7.45,few clouds,0,0
80,Puerto Escondido,MX,2020-07-12 16:38:31,15.85,-97.07,86.0,66,75,3.36,broken clouds,0,0
81,Vredendal,ZA,2020-07-12 16:38:31,-31.67,18.5,54.93,60,6,9.26,clear sky,0,0
82,Longyearbyen,SJ,2020-07-12 16:38:31,78.22,15.64,46.4,81,75,4.7,broken clouds,0,0
83,Lebu,CL,2020-07-12 16:38:32,-37.62,-73.65,50.29,92,100,1.86,overcast clouds,0,0
84,Takoradi,GH,2020-07-12 16:38:32,4.88,-1.76,76.89,81,62,10.6,broken clouds,0,0
85,Coari,BR,2020-07-12 16:38:32,-4.08,-63.14,84.16,75,76,2.59,light rain,0.6,0
86,Marawi,PH,2020-07-12 16:38:32,8.0,124.29,75.99,87,99,7.0,light rain,0.63,0
87,Thompson,CA,2020-07-12 16:38:32,55.74,-97.86,68.0,68,75,9.17,broken clouds,0,0
88,Coquimbo,CL,2020-07-12 16:38:33,-29.95,-71.34,59.0,77,35,6.93,scattered clouds,0,0
89,Kiunga,PG,2020-07-12 16:38:33,-6.12,141.29,72.45,98,87,0.69,moderate rain,1.93,0
90,Hilo,US,2020-07-12 16:38:33,19.73,-155.09,71.6,83,75,3.36,broken clouds,0,0
91,Ancud,CL,2020-07-12 16:38:33,-41.87,-73.82,48.99,75,75,6.93,broken clouds,0,0
92,Terrace,CA,2020-07-12 16:37:54,54.52,-128.6,53.6,87,75,8.05,broken clouds,0,0
93,Sangar,RU,2020-07-12 16:38:33,63.92,127.47,62.56,95,12,2.44,few clouds,0,0
94,East London,ZA,2020-07-12 16:38:33,-33.02,27.91,61.54,56,0,22.82,clear sky,0,0
95,Mishkino,RU,2020-07-12 16:38:33,55.34,63.92,65.61,70,20,3.44,few clouds,0,0
96,Lusambo,CD,2020-07-12 16:38:34,-4.97,23.45,84.58,42,83,1.34,broken clouds,0,0
97,Skelleftea,SE,2020-07-12 16:38:34,64.75,20.95,63.0,62,100,5.82,overcast clouds,0,0
98,Bam,IR,2020-07-12 16:38:34,29.11,58.36,86.56,15,3,8.99,clear sky,0,0
99,Vanimo,PG,2020-07-12 16:38:34,-2.67,141.3,78.46,80,99,0.96,light rain,0.41,0
100,Namatanai,PG,2020-07-12 16:38:34,-3.67,152.43,79.38,80,100,6.29,overcast clouds,0,0
101,Klaksvik,FO,2020-07-12 16:38:34,62.23,-6.59,51.8,93,100,8.05,overcast clouds,0,0
102,Nikolskoye,RU,2020-07-12 16:38:34,59.7,30.79,64.4,63,75,4.47,broken clouds,0,0
103,New Norfolk,AU,2020-07-12 16:38:35,-42.78,147.06,37.0,91,3,1.45,clear sky,0,0
104,Tabursuq,TN,2020-07-12 16:38:35,36.46,9.25,102.2,20,0,18.34,clear sky,0,0
105,Bethel,US,2020-07-12 16:38:35,41.37,-73.41,82.99,61,75,10.29,broken clouds,0,0
106,Odlabari,IN,2020-07-12 16:38:35,26.83,88.62,78.37,88,78,2.82,light rain,0.91,0
107,Jalu,LY,2020-07-12 16:38:35,29.03,21.55,92.66,15,0,7.16,clear sky,0,0
108,Kavaratti,IN,2020-07-12 16:38:35,10.57,72.64,82.51,77,89,14.09,light rain,0.83,0
109,Deniliquin,AU,2020-07-12 16:36:04,-35.53,144.97,43.0,94,41,6.64,scattered clouds,0,0
110,Antalaha,MG,2020-07-12 16:38:36,-14.9,50.28,69.91,87,13,8.43,light rain,0.69,0
111,Linxia,CN,2020-07-12 16:38:36,35.6,103.21,59.22,73,0,2.17,clear sky,0,0
112,Bilibino,RU,2020-07-12 16:38:36,68.05,166.44,58.24,87,100,1.14,light rain,0.16,0
113,Grevena,GR,2020-07-12 16:38:36,40.08,21.43,88.0,34,51,6.93,broken clouds,0,0
114,Georgetown,MY,2020-07-12 16:38:36,5.41,100.34,82.4,88,20,1.12,few clouds,0,0
115,Ajaccio,FR,2020-07-12 16:38:36,42.0,8.92,82.4,65,0,10.29,clear sky,0,0
116,Cidreira,BR,2020-07-12 16:38:37,-30.18,-50.21,60.87,93,85,9.06,overcast clouds,0,0
117,Vardo,NO,2020-07-12 16:38:37,70.37,31.11,48.2,81,75,16.11,broken clouds,0,0
118,Dikson,RU,2020-07-12 16:38:37,73.51,80.55,42.73,97,89,7.85,overcast clouds,0,0
119,Vanavara,RU,2020-07-12 16:38:37,60.34,102.28,56.23,74,19,4.16,few clouds,0,0
120,Cradock,ZA,2020-07-12 16:38:37,-32.16,25.62,51.08,41,10,16.06,clear sky,0,0
121,Mar Del Plata,AR,2020-07-12 16:38:37,-38.0,-57.56,50.0,39,20,16.11,few clouds,0,0
122,Ahipara,NZ,2020-07-12 16:38:38,-35.17,173.17,55.27,86,46,7.54,scattered clouds,0,0
123,Payakumbuh,ID,2020-07-12 16:38:38,-0.22,100.63,71.42,89,100,2.89,overcast clouds,0,0
124,Taormina,IT,2020-07-12 16:38:38,37.85,15.29,84.0,67,0,3.0,clear sky,0,0
125,Ribeira Grande,PT,2020-07-12 16:38:38,38.52,-28.7,75.2,69,20,14.99,few clouds,0,0
126,Hasaki,JP,2020-07-12 16:38:38,35.73,140.83,66.2,93,75,4.7,light intensity shower rain,0,0
127,Bluff,NZ,2020-07-12 16:38:38,-46.6,168.33,39.0,83,57,3.0,broken clouds,0,0
128,Petropavlovsk-Kamchatskiy,RU,2020-07-12 16:38:38,53.05,158.65,53.6,100,75,6.71,broken clouds,0,0
129,Port Elizabeth,ZA,2020-07-12 16:38:38,-33.92,25.57,60.8,59,0,11.41,clear sky,0,0
130,Tekirdag,TR,2020-07-12 16:38:39,40.98,27.51,80.6,39,0,14.99,clear sky,0,0
131,Yinchuan,CN,2020-07-12 16:38:39,38.47,106.27,74.3,54,4,5.03,clear sky,0,0
132,Codrington,AU,2020-07-12 16:38:39,-38.27,141.97,44.01,90,0,2.64,clear sky,0,0
133,Alyangula,AU,2020-07-12 16:38:39,-13.85,136.42,71.6,56,95,4.7,overcast clouds,0,0
134,Perth,AU,2020-07-12 16:38:05,-31.93,115.83,60.01,62,75,5.82,light rain,0.25,0
135,Namibe,AO,2020-07-12 16:38:39,-15.2,12.15,68.0,72,0,11.41,clear sky,0,0
136,Quelimane,MZ,2020-07-12 16:38:39,-17.88,36.89,75.2,69,75,12.75,broken clouds,0,0
